repeat	outer_fold	n_train	events_train	n_test	events_test	train_indices_csv	test_indices_csv
15	0	68	23	18	6	0,2,4,5,6,8,11,12,13,14,15,16,17,19,20,21,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,47,49,50,51,52,54,55,56,57,58,59,60,62,63,65,66,68,69,70,71,72,73,74,75,76,77,78,79,80,83,84,85	1,3,7,9,10,18,22,23,29,43,46,48,53,61,64,67,81,82
15	1	69	24	17	5	0,1,2,3,4,5,6,7,8,9,10,13,14,15,16,18,19,20,21,22,23,27,28,29,30,31,32,33,34,37,38,39,40,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,59,60,61,62,63,64,66,67,68,70,71,72,73,74,78,79,80,81,82,83,85	11,12,17,24,25,26,35,36,41,52,58,65,69,75,76,77,84
15	2	69	23	17	6	0,1,2,3,5,7,8,9,10,11,12,13,14,15,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,38,41,42,43,45,46,48,49,51,52,53,54,55,58,59,61,62,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,82,84,85	4,6,16,19,34,37,39,40,44,47,50,56,57,60,63,78,83
15	3	69	23	17	6	1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,21,22,23,24,25,26,27,28,29,32,34,35,36,37,39,40,41,42,43,44,46,47,48,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,73,74,75,76,77,78,81,82,83,84	0,13,14,15,20,30,31,33,38,45,49,66,71,72,79,80,85
15	4	69	23	17	6	0,1,3,4,6,7,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,29,30,31,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,52,53,56,57,58,60,61,63,64,65,66,67,69,71,72,75,76,77,78,79,80,81,82,83,84,85	2,5,8,21,27,28,32,42,51,54,55,59,62,68,70,73,74
16	0	68	23	18	6	0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,32,33,34,35,39,43,44,46,48,49,50,51,52,53,54,56,57,58,59,60,63,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,83,84,85	14,28,31,36,37,38,40,41,42,45,47,55,61,62,64,76,80,82
16	1	69	24	17	5	0,1,2,4,5,6,7,8,11,12,13,14,15,16,18,19,20,21,22,23,25,26,27,28,29,30,31,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,55,56,57,58,59,60,61,62,64,65,66,67,68,71,72,76,77,78,79,80,81,82,83	3,9,10,17,24,32,35,52,54,63,69,70,73,74,75,84,85
16	2	69	23	17	6	0,3,4,5,6,7,8,9,10,12,14,15,17,18,19,21,22,23,24,25,26,27,28,30,31,32,34,35,36,37,38,40,41,42,43,45,46,47,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,68,69,70,71,73,74,75,76,78,79,80,82,83,84,85	1,2,11,13,16,20,29,33,39,44,48,50,65,67,72,77,81
16	3	69	23	17	6	0,1,2,3,4,5,9,10,11,13,14,15,16,17,19,20,22,24,25,26,28,29,31,32,33,35,36,37,38,39,40,41,42,44,45,47,48,49,50,51,52,54,55,56,57,58,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,84,85	6,7,8,12,18,21,23,27,30,34,43,46,53,59,60,79,83
16	4	69	23	17	6	1,2,3,6,7,8,9,10,11,12,13,14,16,17,18,20,21,23,24,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50,52,53,54,55,59,60,61,62,63,64,65,67,69,70,72,73,74,75,76,77,79,80,81,82,83,84,85	0,4,5,15,19,22,25,26,49,51,56,57,58,66,68,71,78
17	0	68	23	18	6	0,1,2,3,4,5,6,7,11,13,14,15,16,18,19,20,21,23,24,25,28,29,30,31,32,33,34,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,54,55,56,57,59,60,61,62,63,67,68,69,70,71,73,74,75,76,77,79,80,81,82,83,84,85	8,9,10,12,17,22,26,27,35,36,41,53,58,64,65,66,72,78
17	1	69	24	17	5	1,2,3,4,5,6,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,52,53,54,55,56,57,58,59,62,64,65,66,67,69,72,73,74,76,77,78,79,81,82,83,85	0,7,15,24,32,39,50,51,60,61,63,68,70,71,75,80,84
17	2	69	23	17	6	0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,22,23,24,25,26,27,28,31,32,35,36,38,39,40,41,42,43,44,45,48,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,75,77,78,79,80,81,84,85	6,19,20,21,29,30,33,34,37,46,47,49,54,74,76,82,83
17	3	69	23	17	6	0,4,5,6,7,8,9,10,11,12,15,16,17,19,20,21,22,24,25,26,27,29,30,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,49,50,51,53,54,56,58,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,79,80,82,83,84,85	1,2,3,13,14,18,23,28,31,44,48,52,55,57,59,69,81
17	4	69	23	17	6	0,1,2,3,6,7,8,9,10,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,39,41,44,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,63,64,65,66,68,69,70,71,72,74,75,76,78,80,81,82,83,84	4,5,11,16,25,38,40,42,43,45,56,62,67,73,77,79,85
18	0	68	23	18	6	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20,21,22,23,24,26,27,29,30,31,33,34,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,59,60,61,62,63,65,66,67,71,72,74,75,76,77,80,81,83,84,85	9,17,25,28,32,35,36,37,54,58,64,68,69,70,73,78,79,82
18	1	69	24	17	5	0,1,2,4,5,6,7,8,9,10,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,39,41,43,44,45,46,47,48,51,52,53,54,56,57,58,59,60,62,63,64,66,68,69,70,72,73,74,75,77,78,79,81,82,83,84,85	3,11,12,18,27,38,40,42,49,50,55,61,65,67,71,76,80
18	2	69	23	17	6	0,2,3,4,8,9,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,44,45,47,49,50,51,53,54,55,56,58,59,60,61,62,64,65,67,68,69,70,71,72,73,74,75,76,78,79,80,81,82,84	1,5,6,7,10,23,39,43,46,48,52,57,63,66,77,83,85
18	3	69	23	17	6	0,1,3,5,6,7,8,9,10,11,12,13,14,17,18,19,23,24,25,26,27,28,29,32,33,35,36,37,38,39,40,41,42,43,45,46,48,49,50,52,53,54,55,56,57,58,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,82,83,85	2,4,15,16,20,21,22,30,31,34,44,47,51,59,60,81,84
18	4	69	23	17	6	1,2,3,4,5,6,7,9,10,11,12,15,16,17,18,20,21,22,23,25,27,28,30,31,32,34,35,36,37,38,39,40,42,43,44,46,47,48,49,50,51,52,54,55,57,58,59,60,61,63,64,65,66,67,68,69,70,71,73,76,77,78,79,80,81,82,83,84,85	0,8,13,14,19,24,26,29,33,41,45,53,56,62,72,74,75
19	0	68	23	18	6	1,2,3,5,6,7,8,9,10,11,12,13,14,16,17,18,20,21,22,23,27,28,29,30,31,32,33,34,35,37,38,39,41,42,45,46,48,49,50,51,53,54,55,56,57,59,60,61,62,63,65,66,68,69,71,72,74,75,76,77,78,79,80,81,82,83,84,85	0,4,15,19,24,25,26,36,40,43,44,47,52,58,64,67,70,73
19	1	69	24	17	5	0,1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,22,23,24,25,26,28,29,31,32,34,35,36,37,38,40,41,43,44,45,46,47,48,49,50,51,52,53,55,56,58,60,62,64,65,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83	2,12,21,27,30,33,39,42,54,57,59,61,63,66,74,84,85
19	2	69	23	17	6	0,1,2,3,4,5,7,8,9,10,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,30,33,34,36,37,38,39,40,42,43,44,46,47,48,49,51,52,53,54,55,56,57,58,59,61,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,81,83,84,85	6,11,22,28,29,31,32,35,41,45,50,60,62,68,69,80,82
19	3	69	23	17	6	0,1,2,3,4,5,6,7,9,10,11,12,15,16,17,18,19,21,22,24,25,26,27,28,29,30,31,32,33,35,36,38,39,40,41,42,43,44,45,46,47,50,52,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,73,74,76,77,80,82,83,84,85	8,13,14,20,23,34,37,48,49,51,53,65,72,75,78,79,81
19	4	69	23	17	6	0,2,4,6,8,11,12,13,14,15,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,57,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,75,78,79,80,81,82,84,85	1,3,5,7,9,10,16,17,18,38,46,55,56,71,76,77,83
